uid,sid,timestamp
11158,10787,1023840000
11158,5575,1024185600
11158,6216,1024185600
8935,1908,1036627200
11158,156,1052611200
11158,7655,1052611200
16993,10862,1066003200
1941,9763,1069459200
22287,7878,1071619200
22287,4690,1071619200
4854,1641,1072656000
4854,9257,1072656000
4854,7143,1072656000
11158,2091,1073260800
11158,10203,1073520000
5503,4090,1073952000
5503,9275,1074988800
5503,6535,1076198400
5503,11661,1076630400
17583,11784,1076976000
16206,72,1077840000
16206,5334,1077840000
16206,1070,1077926400
5503,8690,1078099200
21681,10036,1078099200
21681,6200,1079481600
5503,1022,1082419200
5503,2041,1082851200
5503,110,1083110400
5503,7903,1083110400
5503,2357,1083283200
5503,7973,1083369600
5503,5718,1083369600
17535,5303,1084233600
17535,8616,1084320000
4986,2369,1084838400
4986,764,1084838400
4986,6338,1084838400
4986,5902,1084838400
4986,11503,1084838400
4986,7329,1084838400
4986,9489,1084838400
5503,10095,1085011200
11158,140,1085356800
11158,663,1085356800
11158,5599,1085443200
8195,7209,1087689600
1482,413,1088467200
16263,11232,1088467200
21000,1128,1088985600
21000,4690,1089504000
5503,779,1090368000
11199,4736,1091750400
17535,3108,1091750400
20545,4736,1092614400
18296,8929,1093046400
22287,154,1093651200
22287,2248,1093651200
20545,7859,1094774400
17751,940,1095465600
11158,5731,1095724800
11158,764,1095724800
1482,6123,1095984000
11158,2792,1097884800
1108,6417,1098489600
1108,11224,1098489600
11158,4949,1098748800
19323,6203,1098835200
15868,1257,1099094400
5503,7948,1099180800
11158,7903,1099353600
18210,713,1099526400
11396,7498,1099526400
1108,413,1099785600
1108,11784,1099785600
5503,4823,1102032000
18210,1436,1102982400
18210,1973,1103500800
5503,11224,1103673600
6865,6232,1104278400
5708,9264,1106006400
18210,8833,1106179200
18210,4456,1106179200
18210,11224,1106265600
8905,1973,1106524800
20658,10702,1106956800
6841,8149,1107043200
6841,3239,1107043200
6841,8836,1107043200
6841,6099,1107043200
15383,4818,1107129600
6938,7390,1107216000
7606,7948,1107388800
5708,4456,1108080000
21000,11911,1108339200
6938,11043,1108684800
5503,8835,1109635200
7736,6535,1109808000
11158,3122,1110585600
11158,4599,1110585600
19046,7376,1110931200
19046,10509,1110931200
6938,8074,1111536000
6938,11773,1111536000
6037,9602,1112140800
6037,5459,1112140800
6037,703,1112140800
6037,3432,1113264000
6037,11784,1113264000
16346,4656,1113350400
21000,5889,1113523200
7606,8118,1113523200
5503,6808,1114992000
13332,10469,1115337600
13170,2522,1115683200
6841,4815,1117238400
16071,4242,1117670400
